PL06041607_1	PL06041607_0
1786	2009.60250812405
1783	2009.59273741568
1785	2009.58296680232
1786	2009.56993946564
1786	2009.56016907398
1790	2009.55039877733
1789	2009.53737186292
1786	2009.52760178795
1788	2009.51783180799
1793	2009.50480531583
1787	2009.49503555754
1785	2009.48526589426
1789	2009.47223982432
1787	2009.4624703827
1786	2009.44944460831
1779	2009.43967538834
1783	2009.42990626337
1786	2009.41688091117
1785	2009.40711200784
1784	2009.39734319951
1786	2009.38431826948
1781	2009.37454968277
1784	2009.36478119105
1783	2009.35175668317
1781	2009.34198841308
1785	2009.32896420069
1784	2009.31919615221
1783	2009.30942819871
1787	2009.29640440844
1787	2009.28663667654
1786	2009.27686903961
1787	2009.26384567144
1783	2009.25407825611
1782	2009.24431093574
1783	2009.23128798964
1783	2009.22152089086
1783	2009.2084982402
1783	2009.19873136299
1785	2009.18896458075
1782	2009.17594235213
1789	2009.16617579145
1788	2009.15640932572
1788	2009.14338751912
1786	2009.13362127495
1787	2009.12385512572
1778	2009.11083374112
1791	2009.10106781345
1783	2009.09130198071
1786	2009.07828101809
1784	2009.06851540689
1784	2009.05549473964
1785	2009.04572934996
1785	2009.03596405523
1781	2009.02294380992
1786	2009.0131787367
1788	2009.00341375841
1785	2008.99039393502
1787	2008.98062917824
1789	2008.97086451638
1782	2008.9578451149
1785	2008.94808067453
1778	2008.93506156837
1783	2008.92529734949
1786	2008.91553322554
1780	2008.90251454124
1785	2008.89275063876
1792	2008.88298683119
1777	2008.86996856874
1782	2008.86020498264
1786	2008.85044149145
1785	2008.83742365083
1786	2008.82766038109
1789	2008.81464283573
1788	2008.80487978744
1787	2008.79511683405
1784	2008.78209971049
1794	2008.77233697853
1780	2008.76257434148
1783	2008.74955763969
1789	2008.73979522405
1784	2008.73003290332
1785	2008.71701662328
1784	2008.70725452395
1779	2008.69749251952
1782	2008.68447666121
1785	2008.67471487818
1788	2008.66169931506
1784	2008.65193775343
1785	2008.64217628667
1785	2008.62916114526
1780	2008.61939989989
1782	2008.60963874939
1782	2008.59662402965
1784	2008.58686310053
1792	2008.57710226628
1780	2008.5640879682
1778	2008.55432735531
1783	2008.54131335237
1784	2008.53155296084
1780	2008.52179266418
1786	2008.50877908286
1786	2008.49901900754
1786	2008.48925902708
1782	2008.47624586736
1783	2008.46648610823
1787	2008.45672644396
1785	2008.44371370582
1787	2008.43395426287
1784	2008.42094181982
1782	2008.41118259819
1794	2008.4014234714
1785	2008.3884114499
1792	2008.37865254442
1787	2008.36889373378
1778	2008.3558821338
1781	2008.34612354446
1783	2008.33636504995
1780	2008.32335387147
1782	2008.31359559825
1782	2008.30383741986
1786	2008.29082666287
1782	2008.28106870575
1781	2008.26805824378
1787	2008.25830050793
1788	2008.24854286691
1785	2008.23553282638
1789	2008.22577540661
1786	2008.21601808167
1782	2008.20300846257
1786	2008.19325135886
1783	2008.18349434998
1789	2008.17048515228
1779	2008.16072836463
1789	2008.14771946191
1785	2008.13796289548
1787	2008.12820642386
1792	2008.11519794251
1789	2008.10544169211
1787	2008.09568553651
1781	2008.08267747651
1780	2008.07292154211
1786	2008.06316570251
1782	2008.05015806385
1786	2008.04040244544
1786	2008.0273951017
1787	2008.01763970448
1780	2008.00788440205
1789	2007.9948774796
1786	2007.98512239835
1784	2007.97536741188
1786	2007.96236091071
1781	2007.9526061454
1786	2007.94285147489
1783	2007.92984539497
1790	2007.9200909456
1792	2007.91033659101
1779	2007.89733093233
1789	2007.88757679888
1786	2007.87457143505
1783	2007.86481752274
1784	2007.8550637052
1783	2007.84205876257
1782	2007.83230516615
1780	2007.8225516645
1788	2007.80954714305
1785	2007.79979386251
1788	2007.79004067674
1784	2007.77703657644
1784	2007.76728361177
1787	2007.75427980627
1783	2007.74452706269
1789	2007.73477441387
1790	2007.7217710295
1793	2007.71201860176
1794	2007.70226626877
1784	2007.6892633055
1779	2007.67951119358
1784	2007.66975917641
1787	2007.65675663422
1784	2007.64700483811
1782	2007.63400259067
1785	2007.62425101562
1785	2007.6144995353
1786	2007.60149770891
1785	2007.59174644964
1783	2007.5819952851
1789	2007.56899387973
1783	2007.55924293622
1785	2007.54949208744
1792	2007.53649110309
1784	2007.52674047533
1791	2007.5169899423
1789	2007.50398937893
1783	2007.4942390669
1786	2007.48123879821
1780	2007.4714887072
1782	2007.46173871089
1781	2007.44873886316
1782	2007.43898908785
1791	2007.42923940725
1793	2007.41623998044
1784	2007.40649052083
1785	2007.39674115592
1780	2007.38374215002
1783	2007.37399300609
1785	2007.36099429482
1785	2007.35124537185
1784	2007.34149654357
1785	2007.32849825318
1779	2007.31874964586
1783	2007.30900113324
1795	2007.2960032637
1780	2007.28625497202
1801	2007.27650677502
1787	2007.26350932632
1792	2007.25376135026
1786	2007.24076419613
1785	2007.231016441
1788	2007.22126878055
1789	2007.20827204722
1781	2007.19852460768
1786	2007.18877726282
1781	2007.17578095027
1784	2007.16603382631
1793	2007.15628679702
1782	2007.14329090524
1785	2007.13354409684
1784	2007.12379738311
1785	2007.11080191207
1789	2007.10105541922
1784	2007.08806024268
1788	2007.07831397071
1784	2007.0685677934
1787	2007.05557303756
1788	2007.04582708112
1791	2007.03608121933
1786	2007.02308688417
1781	2007.01334124324
1778	2007.00359569695
1781	2006.99060178246
1787	2006.98085645701
1785	2006.96786283698
1781	2006.95811773237
1783	2006.9483727224
1783	2006.935379523
1783	2006.92563473385
1783	2006.91589003935
1787	2006.90289726055
1779	2006.89315278686
1786	2006.8834084078
1782	2006.87041604959
1779	2006.86067189134
1782	2006.84767982753
1785	2006.83793589007
1784	2006.82819204723
1786	2006.81520040398
1793	2006.80545678193
1780	2006.7957132545
1783	2006.78272203178
1779	2006.77297872513
1782	2006.76323551309
1790	2006.75024471088
1785	2006.7405017196
1782	2006.73075882294
1786	2006.71776844122
1787	2006.70802576531
1790	2006.69503567793
1782	2006.68529322276
1787	2006.6755508622
1780	2006.66256119528
1782	2006.65281905545
1788	2006.64307701022
1785	2006.63008776373
1790	2006.62034593923
1788	2006.61060420932
1791	2006.59761538325
1788	2006.58787387405
1783	2006.57488534226
1793	2006.56514405377
1785	2006.55540285986
1786	2006.54241474845
1789	2006.53267377524
1778	2006.52293289661
1786	2006.50994520557
1786	2006.50020454762
1783	2006.49046398426
1791	2006.47747671355
1786	2006.46773637086
1790	2006.45474939438
1783	2006.44500927235
1778	2006.4352692449
1787	2006.42228268873
1788	2006.41254288192
1779	2006.40280316969
1786	2006.3898170338
1784	2006.38007754221
1789	2006.37033814518
1786	2006.35735242956
1788	2006.34761325316
1787	2006.33787417132
1791	2006.32488887594
1787	2006.31515001472
1787	2006.30216501351
1782	2006.29242637291
1779	2006.28268782685
1790	2006.26970324585
1785	2006.2599649204
1784	2006.25022668949
1790	2006.23724252868
1786	2006.22750451837
1780	2006.21776660259
1782	2006.20478286195
1788	2006.19504516676
1784	2006.18206172023
1785	2006.17232424561
1781	2006.16258686553
1783	2006.14960383913
1786	2006.13986667961
1789	2006.13012961462
1779	2006.11714700833
1788	2006.1074101639
1788	2006.09767341398
1782	2006.08469122779
1783	2006.07495469842
1782	2006.06197280629
1789	2006.05223649745
1782	2006.04250028313
1781	2006.02951881105
1789	2006.01978281726
1784	2006.01004691797
1786	2005.99706586594
1783	2005.98733018717
1779	2005.9775946029
1785	2005.96461397089
1787	2005.95487860712
1786	2005.94514333786
1785	2005.93216312585
1786	2005.92242807708
1782	2005.90944815905
1786	2005.89971333077
1784	2005.88997859698
1789	2005.87699909891
1784	2005.8672645856
1783	2005.85753016677
1785	2005.84455108865
1785	2005.83481689029
1780	2005.82508278641
1787	2005.81210412821
1785	2005.80237024479
1784	2005.78939188052
1787	2005.77965821755
1785	2005.76992464905
1785	2005.75694670467
1788	2005.74721335661
1779	2005.73748010301
1781	2005.7245025785
1783	2005.71476954533
1785	2005.70503660663
1782	2005.69205950197
1783	2005.68232678368
1786	2005.6693499729
1786	2005.65961747502
1790	2005.6498850716
1785	2005.63690868064
1783	2005.62717649761
1787	2005.61744440904
1783	2005.60446843787
1788	2005.59473656968
1789	2005.58500479594
1784	2005.57202924454
1794	2005.56229769118
1797	2005.55256623226
1785	2005.53959110062
1790	2005.52985986206
1779	2005.51688502423
1783	2005.50715400603
1784	2005.49742308227
1786	2005.48444866416
1781	2005.47471796074
1783	2005.46498735176
1790	2005.45201335335
1792	2005.4422829647
1788	2005.43255267048
1790	2005.41957909174
1783	2005.40984901785
1779	2005.39687573287
1787	2005.38714587929
1784	2005.37741612014
1785	2005.3644432548
1787	2005.35471371595
1788	2005.34498427152
1783	2005.3320118258
1787	2005.32228260166
1788	2005.31255347194
1783	2005.29958144582
1785	2005.28985253638
1789	2005.27688080398
1785	2005.26715211481
1781	2005.25742352005
1792	2005.24445220721
1781	2005.23472383272
1785	2005.22499555262
1793	2005.21202465933
1778	2005.20229659949
1786	2005.19256863405
1782	2005.17959816028
1783	2005.16987041508
1785	2005.16014276427
1784	2005.14717271001
1786	2005.13744527944
1789	2005.12447551882
1782	2005.11474830847
1782	2005.1050211925
1783	2005.09205185136
1778	2005.08232495561
1783	2005.07259815424
1788	2005.05962923254
1788	2005.04990265138
1788	2005.04017616458
1788	2005.02720766232
1788	2005.01748139572
1791	2005.00451318704
1783	2004.99478714063
1781	2004.98506118858
1787	2004.97209339931
1784	2004.96236766744
1780	2004.95264202993
1784	2004.93967466003
1785	2004.92994924268
1783	2004.92022391969
1790	2004.90725696915
1787	2004.89753186632
1789	2004.88780685783
1785	2004.87484032662
1785	2004.86511553829
1787	2004.8521493006
1788	2004.8424247324
1782	2004.83270025854
1782	2004.81973444016
1789	2004.81001018643
1784	2004.80028602704
1790	2004.78732062793
1788	2004.77759668866
1788	2004.76787284372
1786	2004.75490786387
1784	2004.74518423903
1779	2004.73221955265
1790	2004.72249614792
1787	2004.71277283751
1787	2004.69980857036
1786	2004.69008548004
1785	2004.68036248403
1786	2004.66739863609
1778	2004.65767586016
1792	2004.64795317856
1787	2004.63498974979
1779	2004.62526728825
1786	2004.6123041529
1780	2004.60258191142
1784	2004.59285976425
1786	2004.57989704805
1794	2004.57017512093
1784	2004.56045328811
1785	2004.54749099104
1796	2004.53776937826
1787	2004.52804785978
1787	2004.51508598182
1780	2004.50536468336
1783	2004.4956434792
1793	2004.48268202033
1788	2004.47296103619
1785	2004.45999987067
1782	2004.45027910654
1783	2004.44055843669
1784	2004.42759769022
1792	2004.41787724037
1794	2004.40815688481
1796	2004.39519655738
1780	2004.3854764218
1793	2004.3757563805
1806	2004.36279647208
1797	2004.35307665075
1793	2004.34011703564
1793	2004.33039743428
1793	2004.3206779272
1796	2004.30771873106
1794	2004.29799944393
1799	2004.28828025107
1796	2004.27532147389
1800	2004.26560250098
1791	2004.25588362233
1790	2004.24292526409
1800	2004.23320660537
1807	2004.22024854037
1791	2004.21053010159
1793	2004.20081175706
1791	2004.18785411097
1796	2004.17813598636
1798	2004.168417956
1792	2004.15546072879
1798	2004.14574291833
1795	2004.13602520212
1796	2004.12306839378
1785	2004.11335089747
1800	2004.1036334954
1793	2004.09067710589
1787	2004.08095992371
1787	2004.06800382739
1792	2004.05828686508
1790	2004.04856999701
1800	2004.03561431949
1793	2004.02589767129
1796	2004.01618111732
1792	2004.00322585859
1787	2003.99350952447
1803	2003.98379328458
1802	2003.97083844462
1793	2003.96112242457
1792	2003.94816787774
1795	2003.93845207753
1794	2003.92873637154
1787	2003.91578224344
1797	2003.90606675728
1792	2003.89635136533
1795	2003.88339765594
1786	2003.87368248381
1790	2003.86396740588
1793	2003.85101411519
1793	2003.84129925707
1798	2003.82834625945
1802	2003.81863162114
1789	2003.80891707702
1788	2003.79596449805
1799	2003.78625017373
1796	2003.77653594359
1800	2003.76358378327
1798	2003.75386977291
1794	2003.74415585675
1789	2003.73120411504
1785	2003.72149041864
1794	2003.71177681643
1794	2003.69882549332
1792	2003.68911211087
1790	2003.67616108077
1791	2003.66644791806
1792	2003.65673484954
1790	2003.643784238
1793	2003.63407138921
1792	2003.6243586346
1799	2003.6114084416
1794	2003.60169590672
1791	2003.591983466
1792	2003.57903369152
1797	2003.56932147053
1786	2003.55637198901
1793	2003.54665998772
1793	2003.53694808059
1786	2003.52399901756
1799	2003.51428733013
1794	2003.50457573686
1794	2003.4916270923
1789	2003.48191571872
1796	2003.47220443929
1800	2003.45925621317
1795	2003.44954515342
1802	2003.4365972202
1794	2003.42688638012
1792	2003.41717563419
1791	2003.40422811939
1797	2003.39451759311
1791	2003.38480716098
1795	2003.37186006456
1790	2003.36214985208
1789	2003.35243973373
1789	2003.33949305569
1795	2003.32978315698
1794	2003.3200733524
1796	2003.30712709271
1784	2003.29741750776
1793	2003.28447154091
1792	2003.27476217558
1790	2003.26505290437
1797	2003.25210735583
1795	2003.24239830424
1803	2003.23268934676
1797	2003.21974421652
1792	2003.21003547864
1797	2003.20032683487
1793	2003.18738212291
1790	2003.17767369873
1791	2003.16472927955
1790	2003.15502107496
1795	2003.14531296447
1794	2003.13236896353
1799	2003.12266107262
1786	2003.1129532758
1800	2003.10000969308
1799	2003.09030211583
1790	2003.08059463267
1796	2003.06765146816
1794	2003.05794420455
1786	2003.04500133276
1790	2003.0352942887
1798	2003.02558733872
1795	2003.0126448851
1803	2003.00293815466
1795	2002.99323151829
1790	2002.98028948282
1793	2002.97058306598
1794	2002.96087674322
1798	2002.94793512588
1801	2002.93822902263
1790	2002.92852301345
1798	2002.91558181422
1800	2002.90587602454
1803	2002.89293511797
1801	2002.88322954779
1799	2002.87352407167
1786	2002.86058358317
1810	2002.85087832653
1796	2002.84117316396
1794	2002.82823309352
1795	2002.81852815042
1786	2002.80882330137
1790	2002.79588364896
1782	2002.78617901938
1802	2002.77323965957
1791	2002.76353524944
1790	2002.75383093336
1787	2002.74089199156
1793	2002.73118789492
1795	2002.72148389233
1790	2002.7085453685
1790	2002.69884158534
1792	2002.68913789622
1806	2002.67619979035
1794	2002.66649632066
1786	2002.65355850734
1791	2002.64385525706
1789	2002.63415210081
1789	2002.62121470542
1790	2002.61151176857
